index,Model,features,CNF2OBDD-avg,CNF2OBDD-med,CNF2OBDD-stdev,cudd-avg,cudd-med,cudd-stdev,buddy-avg,buddy-med,buddy-stdev,c2d-avg,c2d-med,c2d-stdev,d4-avg,d4-med,d4-stdev,dsharp-avg,dsharp-med,dsharp-stdev,minic2d-avg,minic2d-med,minic2d-stdev,sdd-avg,sdd-med,sdd-stdev,zsdd-avg,zsdd-med,zsdd-stdev,cnf2eadt-avg,cnf2eadt-med,cnf2eadt-stdev
37,Smarch/phycore229x.dimacs,1360,1000,1000,0,600,600,0,600,600,0,8.030051969,7.529265792,1.920355226,14.12098747,14.08277859,0.066946061,75.29830118,73.21140115,4.775766969,10.8885260649025,11.1398770883679,3.43596355601727,600,600,0,1000,1000,0,600,600,0
38,Smarch/freebsd-icse11.dimacs,1396,1000,1000,0,1000,1000,0,1000,1000,0,600,600,0,22.32115292,22.31662178,0.025718501,388.8582182,391.4557332,5.08772726,510.613768087327,533.455881280825,96.4396492772618,600,600,0,1000,1000,0,600,600,0
39,CDL/ea2468.dimacs,1408,1000,1000,0,600,600,0,600,600,0,6.488885809,6.411174672,1.205314267,16.37574461,16.3724881,0.040847742,30.33222491,30.30748432,0.086517744,8.40029328130186,8.61371467448771,1.76088712990178,600,600,0,1000,1000,0,600,600,0
40,KConfig/uClinux-distribution.dimacs,1580,1000,1000,0,490.2968,470.618,81.94166657,600,600,0,5.271846046,5.268867743,0.029413143,0.067482316,0.067539523,0.002723099,0.043690458,0.04335515,0.005917307,5.39694412946701,5.38149689789861,0.0674879958417844,600,600,0,1000,1000,0,600,600,0
41,Smarch/fiasco.dimacs,1638,1000,1000,0,600,600,0,1000,1000,0,7.420367296,7.347537989,0.800602421,0.105724813,0.112492884,0.012636577,0.077532265,0.072503042,0.011164599,8.73993609845638,8.7285473048687,0.952967014036613,75.48352783,75.47739118,0.040220496,1000,1000,0,0.229425703175366,0.24309310503304,0.0153962608761257
42,Smarch/uClinux.dimacs,1850,0.007865732,0.008253873,0.001661369,69.6534,70.193,1.126511358,57.4463,57.752,0.775346123,6.081469552,6.085756662,0.020732281,0.039741382,0.038536734,0.004323735,0.052242766,0.05364708,0.003807421,6.08655709736049,6.08542666584253,0.0212690720267394,12.18304611,12.18450884,0.037986762,1000,1000,0,0.0269366944208741,0.0277859810739756,0.00234783578423625
43,automotive01/automotive01.dimacs,2513,1000,1000,0,600,600,0,600,600,0,20.81185805,20.50071964,1.799604522,0.594531494,0.588543876,0.012665101,1.639327536,1.636919864,0.01128953,21.9855600003153,21.9128049332649,1.77252991420962,600,600,0,1000,1000,0,600,600,0
44,KConfig/linux-2.6.33.3.dimacs,6467,1000,1000,0,600,600,0,600,600,0,600,600,0,600,600,0,600,600,0,600,600,0,600,600,0,1000,1000,0,600,600,0
45,Smarch/busybox-1.18.0.dimacs,6796,1000,1000,0,600,600,0,600,600,0,38.95789724,39.18916667,2.063657308,0.276013409,0.27414278,0.014039027,0.451806817,0.444062705,0.01498568,40.9181680407375,41.026152620092,3.65990343731947,529.7231037,529.5339274,0.521181603,1000,1000,0,600,600,0
46,Smarch/2.6.28.6-icse11.dimacs,6888,1000,1000,0,1000,1000,0,1000,1000,0,600,600,0,600,600,0,1000,1000,0,600,600,0,600,600,0,1000,1000,0,600,600,0
47,Smarch/uClinux-config.dimacs,11254,1000,1000,0,600,600,0,600,600,0,57.16693849,57.69374558,4.549124942,0.722445257,0.713253052,0.023430205,1.390189208,1.372411215,0.033218741,84.7520981758833,82.2629183903337,22.7569929758382,600,600,0,1000,1000,0,600,600,0
48,Smarch/buildroot.dimacs,14910,1000,1000,0,1000,1000,0,600,600,0,600,600,0,600,600,0,600,600,0,600,600,0,600,600,0,1000,1000,0,600,600,0
49,automotive02/automotive2_4.dimacs,18616,1000,1000,0,600,600,0,600,600,0,587.2193209,600,38.34203719,104.3523474,104.3333392,0.475907413,6.097222386,6.101995008,0.018371762,345.405267524719,325.158747820184,101.378006887452,526.8390621,526.9423872,0.682166285,1000,1000,0,600,600,0
50,Smarch/embtoolkit.dimacs,23516,1000,1000,0,600,600,0,600,600,0,600,600,0,24.97604946,24.97929927,0.050252655,75.10492788,75.09365297,0.1147992,600,600,0,600,600,0,1000,1000,0,600,600,0
51,Smarch/freetz.dimacs,31012,1000,1000,0,600,600,0,600,600,0,600,600,0,600,600,0,1000,1000,0,600,600,0,600,600,0,1000,1000,0,600,600,0
52,Smarch/2.6.32-2var.dimacs,60072,1000,1000,0,600,600,0,600,600,0,600,600,0,600,600,0,1000,1000,0,600,600,0,600,600,0,1000,1000,0,600,600,0
53,Smarch/2.6.33.3-2var.dimacs,62482,1000,1000,0,600,600,0,600,600,0,600,600,0,600,600,0,600,600,0,600,600,0,600,600,0,1000,1000,0,600,600,0
